時点,地域コード,県名,ごみ総排出量（総量）【ｔ】
2018年度,12000,千葉県,2064300
2019年度,12000,千葉県,2092336
1999年度,13000,東京都,5105036
2000年度,13000,東京都,5212892
2001年度,13000,東京都,5239816
2002年度,13000,東京都,5203183
2003年度,13000,東京都,5172239
2004年度,13000,東京都,5046798
2005年度,13000,東京都,5336840
2006年度,13000,東京都,5281029
2007年度,13000,東京都,5131706
2008年度,13000,東京都,4916151
2009年度,13000,東京都,4756639
2010年度,13000,東京都,4650318
2011年度,13000,東京都,4608412
2012年度,13000,東京都,4581633
2013年度,13000,東京都,4572285
2014年度,13000,東京都,4513509
2015年度,13000,東京都,4501160
2016年度,13000,東京都,4428042
2017年度,13000,東京都,4417184
2018年度,13000,東京都,4383468
2019年度,13000,東京都,4407607
1999年度,14000,神奈川県,3520545
2000年度,14000,神奈川県,3624306
2001年度,14000,神奈川県,3601884
2002年度,14000,神奈川県,3601675
2003年度,14000,神奈川県,3559984
2004年度,14000,神奈川県,3298601
2005年度,14000,神奈川県,3467102
2006年度,14000,神奈川県,3438499
2007年度,14000,神奈川県,3337417
2008年度,14000,神奈川県,3209405
2009年度,14000,神奈川県,3125728
2010年度,14000,神奈川県,3072908
2011年度,14000,神奈川県,3085925
2012年度,14000,神奈川県,3056604
2013年度,14000,神奈川県,3008291
2014年度,14000,神奈川県,2971896
2015年度,14000,神奈川県,2954371
2016年度,14000,神奈川県,2913221
2017年度,14000,神奈川県,2873102
2018年度,14000,神奈川県,2834103
2019年度,14000,神奈川県,2856077
1999年度,15000,新潟県,1021746
2000年度,15000,新潟県,1042466
2001年度,15000,新潟県,1043754
2002年度,15000,新潟県,1045789
2003年度,15000,新潟県,1054024
2004年度,15000,新潟県,1165925
2005年度,15000,新潟県,1294194
2006年度,15000,新潟県,1121352
2007年度,15000,新潟県,1325258
2008年度,15000,新潟県,1113395
2009年度,15000,新潟県,928927
2010年度,15000,新潟県,901354
2011年度,15000,新潟県,898306
2012年度,15000,新潟県,903998
2013年度,15000,新潟県,893620
2014年度,15000,新潟県,881955
2015年度,15000,新潟県,874457
2016年度,15000,新潟県,850221
2017年度,15000,新潟県,846608
2018年度,15000,新潟県,851718
2019年度,15000,新潟県,845564
