時点,地域コード,地域,ごみ総排出量（総量）【ｔ】,緯度,軽度
2011年度,46000,鹿児島県,588485,31.56,130.558
2012年度,46000,鹿児島県,586394,31.56,130.558
2013年度,46000,鹿児島県,581396,31.56,130.558
2014年度,46000,鹿児島県,578401,31.56,130.558
2015年度,46000,鹿児島県,579764,31.56,130.558
2016年度,46000,鹿児島県,563976,31.56,130.558
2017年度,46000,鹿児島県,554215,31.56,130.558
2018年度,46000,鹿児島県,553143,31.56,130.558
2019年度,46000,鹿児島県,548911,31.56,130.558
1999年度,47000,沖縄県,507331,26.212,127.681
2000年度,47000,沖縄県,501049,26.212,127.681
2001年度,47000,沖縄県,488059,26.212,127.681
2002年度,47000,沖縄県,487616,26.212,127.681
2003年度,47000,沖縄県,483304,26.212,127.681
2004年度,47000,沖縄県,460728,26.212,127.681
2005年度,47000,沖縄県,462351,26.212,127.681
2006年度,47000,沖縄県,463112,26.212,127.681
2007年度,47000,沖縄県,458488,26.212,127.681
2008年度,47000,沖縄県,424635,26.212,127.681
2009年度,47000,沖縄県,427265,26.212,127.681
2010年度,47000,沖縄県,430966,26.212,127.681
2011年度,47000,沖縄県,442132,26.212,127.681
2012年度,47000,沖縄県,447521,26.212,127.681
2013年度,47000,沖縄県,436373,26.212,127.681
2014年度,47000,沖縄県,446461,26.212,127.681
2015年度,47000,沖縄県,448532,26.212,127.681
2016年度,47000,沖縄県,456167,26.212,127.681
2017年度,47000,沖縄県,465179,26.212,127.681
2018年度,47000,沖縄県,475494,26.212,127.681
2019年度,47000,沖縄県,481354,26.212,127.681
